name,rank,description,effect_value,effect_type,form_id,race
Ammo Factory,1,Produce 50% more rounds when crafting ammunition.,50,percentage,005CBE7B,"Human, Ghoul"
Ammo Factory,2,Produce 75% more rounds when crafting ammunition.,75,percentage,005CBE7C,"Human, Ghoul"
Ammo Factory,3,Produce 100% more rounds when crafting ammunition.,100,percentage,005CBE7D,"Human, Ghoul"
Ammo Factory,4,Produce 150% more rounds when crafting ammunition.,150,percentage,005CBE7E,"Human, Ghoul"
Blood Sacrifice!,1,"When you die, teammates gain +25 DR and heal 40 HP over 8 seconds.",25,flat,005A59D1,"Human, Ghoul"
Blood Sacrifice!,2,"When you die, teammates gain +30 DR and heal 50 HP over 10 seconds.",30,flat,005A59D2,"Human, Ghoul"
Blood Sacrifice!,3,"When you die, teammates gain +35 DR and heal 60 HP over 12 seconds.",35,flat,005A59D3,"Human, Ghoul"
Blood Sacrifice!,4,"When you die, teammates gain +40 DR and heal 70 HP over 14 seconds.",40,flat,005A59D4,"Human, Ghoul"
Brawling Chemist,1,Generate 1 combat enhancing chem every hour. Up to a max of 3.,1,value,005A5DBB,"Human, Ghoul"
Brawling Chemist,2,Generate 1 combat enhancing chem every 50 minutes. Up to a max of 4.,1,value,005A5DBC,"Human, Ghoul"
Brawling Chemist,3,Generate 1 combat enhancing chem every 40 minutes. Up to a max of 5.,1,value,005A5DBD,"Human, Ghoul"
Brawling Chemist,4,Generate 2 combat enhancing chems every 40 minutes. Up to a max of 5.,2,value,005A5DBE,"Human, Ghoul"
Hack and Slash,1,20% chance for melee VATS attacks to do area damage.,20,percentage,005D036E,"Human, Ghoul"
Hack and Slash,2,30% chance for melee VATS attacks to do area damage.,30,percentage,005D036F,"Human, Ghoul"
Hack and Slash,3,40% chance for melee VATS attacks to do area damage.,40,percentage,005D0370,"Human, Ghoul"
Hack and Slash,4,50% chance for melee VATS attacks to do area damage.,50,percentage,005D0371,"Human, Ghoul"
Collateral Damage,1,Enemies killed with a melee weapon have a 10% chance to explode.,10,percentage,005A5E24,"Human, Ghoul"
Collateral Damage,2,Enemies killed with a melee weapon have a 13% chance to explode.,13,percentage,005A5E25,"Human, Ghoul"
Collateral Damage,3,Enemies killed with a melee weapon have a 16% chance to explode.,16,percentage,005A5E26,"Human, Ghoul"
Collateral Damage,4,Enemies killed with a melee weapon have a 20% chance to explode.,20,percentage,005A5E27,"Human, Ghoul"
Detonation Contagion,1,Enemies killed with a thrown explosive have a 20% chance to explode.,20,percentage,005A5DDD,"Human, Ghoul"
