name,category,subcategory,effects,duration,hp_restore,rads,hunger_satisfaction,thirst_satisfaction,special_modifiers,addiction_risk,disease_risk,weight,value,form_id,crafting_station,source_url
Psychobuff,chem,damage buff,"+3 STR and +3 END for 5 minutes; +65 max HP",5 minutes,,,,,,35%,,0.1,35,00058AAC,Chemistry Station,https://fallout.fandom.com/wiki/Psychobuff
Psychotats,chem,damage buff,"+3 PER and +25% damage for 5 minutes",5 minutes,,,,,,35%,,0.1,35,00058AAA,Chemistry Station,https://fallout.fandom.com/wiki/Psychotats
Overdrive,chem,critical buff,"+15% critical chance for 8 minutes",8 minutes,,,,,,50%,,0.1,40,00058AAD,Chemistry Station,https://fallout.fandom.com/wiki/Overdrive
Fury,chem,melee buff,"+25% melee damage and +3 STR for 5 minutes",5 minutes,,,,,,50%,,0.1,30,000628CA,Chemistry Station,https://fallout.fandom.com/wiki/Fury_(Fallout_76)
Berry Mentats,chem,perception buff,"+5 PER for 5 minutes; highlights living targets",5 minutes,,,,,,25%,,0.1,30,000518BB,Chemistry Station,https://fallout.fandom.com/wiki/Berry_Mentats
Stimpak,aid,healing,Restores HP over 5 seconds,instant,30%,,,,,,,0.1,15,00023736,,https://fallout.fandom.com/wiki/Stimpak_(Fallout_76)
Super Stimpak,aid,healing,Restores HP over 5 seconds (more than regular),instant,60%,,,,,,,0.2,30,00117DF9,Chemistry Station,https://fallout.fandom.com/wiki/Super_stimpak_(Fallout_76)
RadAway,aid,rad removal,Removes 300 rads over 30 seconds,30 seconds,,-300,,,,,,0.1,40,00023742,,https://fallout.fandom.com/wiki/Radaway_(Fallout_76)
Rad-X,aid,rad resist,+100 Radiation Resistance for 10 minutes; suppresses mutation effects,10 minutes,,,,,,,,0.1,30,00024057,,https://fallout.fandom.com/wiki/Rad-X_(Fallout_76)
Cranberry Relish,food,cooked,"+10% XP gain and +20 max HP for 1 hour",1 hour,+20,,,25,15,,,0.25,10,,Cooking Station,https://fallout.fandom.com/wiki/Cranberry_relish
Brain Bombs,food,cooked,"+7.5% XP gain and +3 INT for 2 hours",2 hours,+30,,,15,15,+3 INT,,,0.5,20,,Cooking Station,https://fallout.fandom.com/wiki/Brain_bombs
Scorchbeast Mixed Meat Stew,food,cooked,"+20% XP gain for 1 hour; +100 carry weight",1 hour,+100,,,25,15,,,0.25,15,,Cooking Station,https://fallout.fandom.com/wiki/Scorchbeast_mixed_meat_stew
Deathclaw Steak,food,cooked,"+2 STR and +0.2 STR per hit for 1 hour",1 hour,+60,,,25,15,+2 STR,,,0.5,25,,Cooking Station,https://fallout.fandom.com/wiki/Deathclaw_steak_(Fallout_76)
Ballistic Bock,alcohol,brewed,"+15% Ballistic damage for 30 minutes",30 minutes,+25,,,15,25,+1 STR; -1 INT,,,1.0,15,,Brewing Station,https://fallout.fandom.com/wiki/Ballistic_Bock
High Voltage Hefe,alcohol,brewed,"+15% Energy damage for 30 minutes",30 minutes,+25,,,15,25,+1 PER; -1 CHA,,,1.0,15,,Brewing Station,https://fallout.fandom.com/wiki/High_Voltage_Hefe
Nuka-Cola Quantum,beverage,nuka-cola,Restores 100 HP and 50 AP,instant,100,,15,25,,,1.0,40,0004835F,,https://fallout.fandom.com/wiki/Nuka-Cola_Quantum_(Fallout_76)
