name,category,subcategory,effects,duration,hp_restore,rads,hunger_satisfaction,thirst_satisfaction,special_modifiers,addiction_risk,disease_risk,weight,value,form_id,crafting_station,source_url
Berry Mentats,chem,,"+5 INT, highlights living targets (for 5 minutes)",,,,,-3%,+5 INT,,,0.25,35,000518BB,,https://fallout.fandom.com/wiki/Berry_Mentats_(Fallout_76)
Blood pack,food,,+5 HP/s (10s)+10 Rads,,,,,,,,,0.25,20,00052409,,https://fallout.fandom.com/wiki/Blood_pack_(Fallout_76)
Buffout,chem,,+2 STR+2 END+25 max HP (for 5 minutes),,,,-1%,-3%,"+2 STR, +2 END",,,0.25,30,00033778,,https://fallout.fandom.com/wiki/Buffout_(Fallout_76)
Bufftats,chem,,+3 Strength for 5 min+3 Perception for 5 min+3 Endurance for 5 min+40 Max HP for 5 min,,,,-1%,-3%,"+3 STR, +3 PER, +3 END",Buffout addiction 15% chance,,0.25,40,00058AA5,,https://fallout.fandom.com/wiki/Bufftats_(Fallout_76)
Calmex,food,,+3 AGI+3 PER+15% to Sneak Attacks for 5 minutes.Increases Thirst.,,,,,-3%,"+3 AGI, +3 PER",,,0.25,80,00058AA7,,https://fallout.fandom.com/wiki/Calmex_(Fallout_76)
Daddy-O,chem,,+3 INT (10m)+3 PER (10m)-2 CHR (10m),,,,,-3%,"+3 INT, +3 PER",15%,,0.25,40,00156D0B,,https://fallout.fandom.com/wiki/Daddy-O_(Fallout_76)
Day Tripper,chem,,+3 Luck+3 Charisma-2 Strength (for 10 minutes),,,,,-3%,"+3 LUC, +3 CHA, -2 STR",15%,,0.25,30,00150729,,https://fallout.fandom.com/wiki/Day_Tripper_(Fallout_76)
Formula P,food,,+5 CHR+3 LCKImproves gun accuracy for 5 minutes.+Thirst,,,,,,+3 LCK,Formula P addiction,,0.25,80,00417A42,,https://fallout.fandom.com/wiki/Formula_P
"""The Fix""",food,,Satisfies a large amount of Feral (75%),,,,,,,,,0.03,40,,,https://fallout.fandom.com/wiki/%22The_Fix%22
Fury,chem,,+30% Melee Damage for 3 min+25 DMG Resist  for 3 min-5 Perception for 3 min,,,,-3%,-3%,-5 PER,Fury addiction 15% chance,,0.25,40,000628CA,,https://fallout.fandom.com/wiki/Fury_(Fallout_76)
Grape Mentats,chem,,+5 CHRBetter barter rates (for 5 minutes),,,,,-3%,,10%,,0.25,35,0010129A,,https://fallout.fandom.com/wiki/Grape_Mentats_(Fallout_76)
Med-X,aid,,+25% DMG Resist (for 5 minutes),,,,-1%,-3%,,Med-X addiction - 25% chance,,0.25,40,00033779,,https://fallout.fandom.com/wiki/Med-X_(Fallout_76)
Mentats,chem,,+2 INT+2 PER (for 5 minutes),,,,,-3%,"+2 INT, +2 PER",,,0.25,30,0003377B,,https://fallout.fandom.com/wiki/Mentats_(Fallout_76)
Nuclear Don's Custom Chem Blend,food,,+100% Damage+100 Damage Resistance+100 Maximum HealthRestores health with an initial burst and continues healing at a slower rate (for 5 minutes),,,,,,,,,0.3,30,005955A5,,https://fallout.fandom.com/wiki/Nuclear_Don%27s_Custom_Chem_Blend
Orange Mentats,chem,,+5 PER+10% VATS accuracy (for 5 minutes),,,,,-3%,+5 PER,,,0.25,35,000518C5,,https://fallout.fandom.com/wiki/Orange_Mentats_(Fallout_76)
Overdrive,chem,,+15% Damage for 3 min+30% Critical Damage for 3 min,,,,-3%,-3%,,Overdrive addiction 15% chance,,0.25,40,00058AAD,,https://fallout.fandom.com/wiki/Overdrive_(Fallout_76)
Psycho,chem,,+25 damage resistance (3m)+15% damage (3m),,,,-1%,-3%,,,,0.25,30,0003377D,,https://fallout.fandom.com/wiki/Psycho_(Fallout_76)
Psychobuff,chem,,+65 Max HP+3 STR+3 END+25% Damage (for 3 minutes),,,,-3%,-3%,"+3 STR, +3 END",,,0.25,40,00058AAC,,https://fallout.fandom.com/wiki/Psychobuff_(Fallout_76)
Psychotats,chem,,15 DMG Resist+25% Damage+3 PER (for 3 minutes),,,,-1%,-3%,+3 PER,,,0.25,40,00058AAA,,https://fallout.fandom.com/wiki/Psychotats_(Fallout_76)
Skeeto Spit,food,,+25 Max HP (10m),,,,,-3%,,No addiction,,0.25,35,00058ABC,,https://fallout.fandom.com/wiki/Skeeto_Spit_(Fallout_76)
Super chem Mk I,food,,+30% melee damage (5m)+25 damage resistance (5m)+2 Strength (5m),,,,,,+2 STR,No addiction,,0.1,0 (non-tradeable),005A5DB3,,https://fallout.fandom.com/wiki/Super_chem_Mk_I
X-cell,chem,,+2 Strength+2 Perception+2 Endurance+2 Charisma+2 Intelligence+2 Agility+2 Luck,,,,-1%,-3%,"+2 STR, +2 PER, +2 END, +2 CHA, +2 INT, +2 AGI, +2 LUC",X-cell addiction (35%)-1 Strength-1 Perception-1 Endurance-1 Charisma-1 Intelligence-1 Agility-1 Luck,,0.25,35,001506F4,,https://fallout.fandom.com/wiki/X-cell_(Fallout_76)
