name,category,subcategory,effects,duration,hp_restore,rads,hunger_satisfaction,thirst_satisfaction,special_modifiers,addiction_risk,disease_risk,weight,value,form_id,crafting_station,source_url
Ballistic Bock,alcohol,,Improves ballistic weapon damage by 15% but increases the condition cost by 15% for 5 minutes.,,,,,,,,,,,00469842,,https://fallout.fandom.com/wiki/Ballistic_Bock
Beer,alcohol,,+1 STR+1 CHR-1 INT,,,,,,"+1 STR, -1 INT",,,,,0011EA93,,https://fallout.fandom.com/wiki/Beer_(Fallout_76)
Blackberry juice,drink,,,,,+2,,15%,,,,0.5,8,00294521,Super Duper,https://fallout.fandom.com/wiki/Blackberry_juice
Blackwater Brew,drink,,+1 STR+1 CHR-1 INT,,,,,15%,"+1 STR, -1 INT",Alcohol addiction (5%)-1 Charisma-1 Agility,,1,5,003B5FC9,,https://fallout.fandom.com/wiki/Blackwater_Brew
Bourbon,food,,+1 STR-1 INT+1 END,,,,,,"+1 STR, -1 INT, +1 END",,,,,000366C4,,https://fallout.fandom.com/wiki/Bourbon_(Fallout_76)
Carrot flower nectar,food,,+10 HP+5 Rads+1 PER,,,,,15%,+1 PER,,,0.7,5,003D7883,,https://fallout.fandom.com/wiki/Carrot_flower_nectar
Chally's milk,food,,+1 STR for 30 min,,,,5%,15%,+1 STR,,,0.25,15,00553ED5,,https://fallout.fandom.com/wiki/Chally%27s_milk
Company tea,drink,,+10% AP refresh rate for 60 min+20% Disease Resistance for 60 min,,,,,,,,,Thru-hiker,,00120C9B,Super Duper,https://fallout.fandom.com/wiki/Company_tea
Corpse seed juice,drink,,+10 Max AP for 30 min,,,+2,,15%,,,,0.5,8,00294522,Super Duper,https://fallout.fandom.com/wiki/Corpse_seed_juice
Cranberry juice,drink,,+2% XP for 30 min,,,+2,,15%,,,,0.5,5,00294523,Super Duper,https://fallout.fandom.com/wiki/Cranberry_juice
Cranberry moonshine,food,,+1 CHR+1 STR-1 INT+25 Max HP,,,,,15%,"+1 STR, -1 INT",Alcohol addiction (15%)-1 Charisma-1 Agility,,1.2,20,0016A13C,,https://fallout.fandom.com/wiki/Cranberry_moonshine
