name,category,subcategory,effects,duration,hp_restore,rads,hunger_satisfaction,thirst_satisfaction,special_modifiers,addiction_risk,disease_risk,weight,value,form_id,crafting_station,source_url
Aged mirelurk queen steak,food,,+3 END for 60 minutes,,,,,,+3 END,,,Thru-hiker,,003D749D,Super Duper,https://fallout.fandom.com/wiki/Aged_mirelurk_queen_steak
Blackberry honey crisp,food,,+5 AP regen/s for 90 min,,,+2,20%,,,,,0.25,23,003D5F3E,Super Duper,https://fallout.fandom.com/wiki/Blackberry_honey_crisp
Bloodbug pepper steak,food,,Heals 0.25% HP/s for 60 min,,,,,,,,,Thru-hiker,,003C60D7,Super Duper,https://fallout.fandom.com/wiki/Bloodbug_pepper_steak
Bloodbug steak,food,,+30 Max HP for 30 min,,,+5,15%,,,,,0.5,19,0004693F,Super Duper,https://fallout.fandom.com/wiki/Bloodbug_steak_(Fallout_76)
Brain bombs,food,,+5 Rads+90 HP+300 AP +3 INT ( 90m),,,,25%,,+3 INT,,,0.5,31,0011C5B0,,https://fallout.fandom.com/wiki/Brain_bombs
Broiled scorchbeast brain,food,,10 Rads200 HP3 INT,,,,25%,,3 INT,,,1.5,40,001C719E,,https://fallout.fandom.com/wiki/Broiled_scorchbeast_brain
Chally's feed,food,,+1 Luck+2 Rads+25 HP,,,,10%,,+1 LUC,,,0.25,5,00552758,,https://fallout.fandom.com/wiki/Chally%27s_feed
Charred scorchbeast liver,food,,200 HP3 LCK7 Rads,,,,31%,,3 LCK,,,1.5,40,001C71A4,,https://fallout.fandom.com/wiki/Charred_scorchbeast_liver
Chew stick,food,,+1 LCK for 30 min,,,+2,10%,,+1 LCK,,,0.25,5,002944CA,Super Duper,https://fallout.fandom.com/wiki/Chew_stick
Chitlins con carne,food,,+5 Rads+45 HP+2 END,,,,15%,,+2 END,,0%,1,6,00529DDE,,https://fallout.fandom.com/wiki/Chitlins_con_carne
Cooked softshell meat,food,,+20 Max AP for 30 min,,,+5,15%,,,,,0.5,28,00046942,Super Duper,https://fallout.fandom.com/wiki/Cooked_softshell_meat_(Fallout_76)
Cotton candy bites,food,,+1 Rads+4 HP+60 AP,,,,6%,,,,0%,0.5,7,00113377,,https://fallout.fandom.com/wiki/Cotton_candy_bites_(Fallout_76)
