name,special,level,race,rank,description,form_id
Arms Keeper,S,28,"Human, Ghoul",1,Your weapons weigh 50% less.,006D51E7
Arms Keeper,S,28,"Human, Ghoul",2,Your weapons weigh 75% less.,
Arms of Steel,S,70,Ghoul,1,"Your sturdy arms allow you to handle ranged weapons better, increasing accuracy by 15%",00797E02
Arms of Steel,S,70,Ghoul,2,"Your sturdy arms allow you to handle ranged weapons better, increasing accuracy by 30%",
Bandolier,S,22,"Human, Ghoul",1,Ballistic weapon ammo weighs 45% less.,003896E6
Bandolier,S,22,"Human, Ghoul",2,Ballistic weapon ammo weighs 90% less.,
Barbarian,S,14,"Human, Ghoul",1,Gain Damage Resistance based on your STR. Doubled when not wearing armor.,00242E66
Basher,S,11,"Human, Ghoul",1,Gun bashing does +25% damage and +35% limb damage.,00188F1F
Basher,S,11,"Human, Ghoul",2,Gun bashing does +50% damage and +75% limb damage.,
Bear Arms,S,35,"Human, Ghoul",1,Each stack of Bullet Storm increases your bash damage by 5%.,0016AFE9
Blocker,S,21,"Human, Ghoul",1,Take 15% less damage from your opponents' melee attacks.,003D2954
Blocker,S,21,"Human, Ghoul",2,Take 30% less damage from your opponents' melee attacks.,
Blocker,S,21,"Human, Ghoul",3,Take 45% less damage from your opponents' melee attacks.,
Blood Luster,S,35,"Human, Ghoul",1,Your bleed effects have 35% more damage and 25% less duration.,00123A60
Bone shatterer,S,90,Ghoul,1,Your melee weapon attacks have +25% limb damage.,00797E1A
Bone shatterer,S,90,Ghoul,2,Your melee weapon attacks have +50% limb damage.,
Bone shatterer,S,90,Ghoul,3,Your melee weapon attacks have +75% limb damage.,
Brick Wall,S,100,Ghoul,2,"When your Glow is high, makes you immune to staggering attacks.",00797E1C
Bringing the Big Guns,S,50,"Human, Ghoul",3,Your Bullet Storm stack limit is doubled.,001C9D2E
Bullet Storm,S,30,"Human, Ghoul",1,Gain 3% damage per 30 ammo spent. 10 max stacks.,0031AF17
Bullet Storm,S,30,"Human, Ghoul",2,Gain 6% damage per 30 ammo spent. 10 max stacks.,
Bullet Storm,S,30,"Human, Ghoul",3,Gain 9% damage per 30 ammo spent. 10 max stacks.,
