weapon_name,slot,mod_name,damage_change,damage_change_is_percent,fire_rate_change,range_change,accuracy_change,ap_cost_change,recoil_change,spread_change,converts_to_auto,converts_to_semi,crit_damage_bonus,hip_fire_accuracy_bonus,armor_penetration,is_suppressed,is_scoped,mag_size_change,reload_speed_change,weight_change,value_change_percent,required_perk,required_perk_rank,form_id,source_url
Handmade rifle,receiver,Automatic,-10%,0,+35,-12,,-50%,,,1,0,,,,0,0,,,+0.8,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Calibrated,,0,,,+1,,,,0,0,,,,0,0,,,+1.2,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Fierce,,0,+8,,+1,-5%,,,0,0,,,,0,0,,,+1.2,+70%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Focused automatic,,0,+35,-12,+2,-50%,,,1,0,,,,0,0,,,+1,+50%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Hair trigger,,0,+20,,,-10%,,,0,0,,,,0,0,,,+1.2,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Hardened,+25%,0,,,,,,,0,1,,,,0,0,,,+2.4,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Powerful automatic,+12.5%,0,+35,-12,,-50%,,,1,0,,,,0,0,,,+1.8,+50%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Prime automatic,+15%,0,+35,-12,,-50%,,,1,0,,,,0,0,,,+0.8,+140%,plan,1,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Prime,+25%,0,,,,,,,0,0,,,,0,0,,,,+100%,plan,1,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Refined,+12.5%,0,,,+3,,,,0,0,,,,0,0,,,+1.6,+40%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Scorched killer's,-20%,0,,,,,,,0,0,,,,0,0,,,+0.3,+100%,quest,1,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Severe,+12.5%,0,,,+1,,,,0,0,,,,0,0,,,+1.8,+60%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Speedy,,0,+8,,+1,-5%,,,0,0,,,,0,0,,,+1.2,+60%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,True,,0,,,+4,,,,0,0,,,,0,0,,,+2.4,+40%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Tuned,+12.5%,0,+8,,-1,-5%,,,0,0,,,,0,0,,,+1.8,+50%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Tweaked automatic,,0,+35,-12,,-50%,,,1,0,,,,0,0,,,+1.2,+70%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,receiver,Vicious,,0,,,+2,,,,0,0,,,,0,0,,,+1.2,+70%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,Aligned long,,0,,+84,+3,-5%,+37%,,0,0,,,,0,0,,,+0.8,+60%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,Aligned short(Ported),,0,,,+3,-5%,-22%,,0,0,,,,0,0,,,+0.8,+50%,Gunsmith,3,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,Long,,0,,+84,+1,,+50%,,0,0,,,,0,0,,,,+20%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,Short(Short),,0,,,,,-10%,,0,0,,,,0,0,,,,+10%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,Stabilized long,,0,,+84,+1,,+25%,,0,0,,,,0,0,,,+2.4,+60%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,Stabilized short(Ported),,0,,,+1,,-35%,,0,0,,,,0,0,,,+2.4,+50%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
Handmade rifle,barrel,True long,,0,,+84,+4,,+50%,,0,0,,,,0,0,,,+2.4,+60%,,,,https://fallout.fandom.com/wiki/Handmade_rifle_(Fallout_76)
